Date,Host,Result
01/07/2013 10:19,ca00pvmw001.aceins.com,Success
01/07/2013 10:20,ca01pvmw301.aceins.com,Success
01/07/2013 10:20,ca01pvmw302.aceins.com,Success
01/07/2013 10:20,ca01pvmw303.aceins.com,Success
01/07/2013 10:20,ca01pvmw311.aceins.com,Success
01/07/2013 10:20,ca01pvmw401.aceins.com,Success
01/07/2013 10:20,uk01dvmw301.aceins.com,Success
01/07/2013 10:20,uk01dvmw302.aceins.com,Success
01/07/2013 10:20,uk01dvmw303.aceins.com,Success
01/07/2013 10:20,uk01dvmw304.aceins.com,Success
01/07/2013 10:20,uk01dvmw305.aceins.com,Success
01/07/2013 10:20,uk01dvmw306.aceins.com,Success
01/07/2013 10:20,uk01dvmw307.aceins.com,Success
01/07/2013 10:20,uk01dvmw308.aceins.com,Success
01/07/2013 10:20,uk01dvmw309.aceins.com,Success
01/07/2013 10:20,uk01dvmw310.aceins.com,Success
01/07/2013 10:21,uk01dvmw311.aceins.com,Success
01/07/2013 10:21,uk01dvmw312.aceins.com,Success
01/07/2013 10:21,uk01pvmw302.aceins.com,Success
01/07/2013 10:21,uk01pvmw303.aceins.com,Success
01/07/2013 10:21,uk01pvmw304.aceins.com,Success
01/07/2013 10:21,uk01pvmw311.aceins.com,Success
01/07/2013 10:21,uk01pvmw305.aceins.com,Success
01/07/2013 10:21,uk01pvmw307.aceins.com,Success
01/07/2013 10:21,uk01pvmw308.aceins.com,Success
01/07/2013 10:21,uk01pvmw309.aceins.com,Success
01/07/2013 10:21,uk01pvmw310.aceins.com,Success
01/07/2013 10:21,uk01pvmw301.aceins.com,Success
01/07/2013 10:21,uk01pvmw306.aceins.com,Success
01/07/2013 10:21,uk01pvmw603.aceins.com,Success
01/07/2013 10:21,uk01pvmw604.aceins.com,Success
01/07/2013 10:21,uk01pvmw605.aceins.com,Success
01/07/2013 10:22,uk01pvmw607.aceins.com,Success
01/07/2013 10:22,uk01pvmw608.aceins.com,Success
01/07/2013 10:22,uk01pvmw609.aceins.com,Success
01/07/2013 10:22,uk01pvmw610.aceins.com,Success
01/07/2013 10:22,uk01pvmw612.aceins.com,Success
01/07/2013 10:22,uk01pvmw613.aceins.com,Success
01/07/2013 10:22,uk01pvmw606.aceins.com,Success
01/07/2013 10:22,uk01pvmw615.aceins.com,Success
01/07/2013 10:22,uk01pvmw616.aceins.com,Success
01/07/2013 10:22,uk01pvmw614.aceins.com,Success
01/07/2013 10:22,uk01pvmw617.aceins.com,Success
01/07/2013 10:22,uk01pvmw001.aceins.com,Success
01/07/2013 10:22,uk01pvmw213.aceins.com,Success
01/07/2013 10:22,uk01pvmw214.aceins.com,Success
01/07/2013 10:22,uk01pvmw206.aceins.com,Success
01/07/2013 10:22,uk01pvmw201.aceins.com,Success
01/07/2013 10:23,uk01pvmw202.aceins.com,Success
01/07/2013 10:23,uk01pvmw203.aceins.com,Success
01/07/2013 10:23,uk01pvmw204.aceins.com,Success
01/07/2013 10:23,uk01pvmw205.aceins.com,Success
01/07/2013 10:23,uk01pvmw207.aceins.com,Success
01/07/2013 10:23,uk01pvmw208.aceins.com,Success
01/07/2013 10:23,uk01pvmw209.aceins.com,Success
01/07/2013 10:24,uk01pvmw210.aceins.com,Success
01/07/2013 10:24,uk01pvmw211.aceins.com,Success
01/07/2013 10:24,uk01pvmw212.aceins.com,Success
01/07/2013 10:24,uk01pvmw002.aceins.com,Success
01/07/2013 10:24,uk01pvmw003.aceins.com,Success
01/07/2013 10:24,uk01pvmw004.aceins.com,Success
01/07/2013 10:24,uk01pvmw005.aceins.com,Success
01/07/2013 10:24,uk01pvmw006.aceins.com,Success
01/07/2013 10:24,uk01pvmw007.aceins.com,Success
01/07/2013 10:24,uk01pvmw022.aceins.com,Success
01/07/2013 10:24,uk01pvmw023.aceins.com,Success
01/07/2013 10:24,uk01pvmw024.aceins.com,Success
01/07/2013 10:28,uk01pvmw025.aceins.com,Failed (Connection)
01/07/2013 10:28,uk01pvmw026.aceins.com,Success
01/07/2013 10:28,uk01pvmw027.aceins.com,Success
01/07/2013 10:28,uk01pvmw028.aceins.com,Success
01/07/2013 10:28,uk01pvmw702.aceins.com,Success
01/07/2013 10:28,uk01pvmw704.aceins.com,Success
01/07/2013 10:28,uk01pvmw703.aceins.com,Success
01/07/2013 10:28,uk01pvmw701.aceins.com,Success
01/07/2013 10:28,uk01pvmw512.aceins.com,Success
01/07/2013 10:28,uk01pvmw513.aceins.com,Success
01/07/2013 10:28,uk01pvmw514.aceins.com,Success
01/07/2013 10:28,uk01pvmw515.aceins.com,Success
01/07/2013 10:28,uk01pvmw546.aceins.com,Success
01/07/2013 10:29,uk01pvmw547.aceins.com,Success
01/07/2013 10:29,uk01pvmw548.aceins.com,Success
01/07/2013 10:29,uk01pvmw549.aceins.com,Success
01/07/2013 10:29,uk01pvmw550.aceins.com,Success
01/07/2013 10:29,uk01pvmw533.aceins.com,Success
01/07/2013 10:29,uk01pvmw534.aceins.com,Success
01/07/2013 10:29,uk01pvmw535.aceins.com,Success
01/07/2013 10:29,uk01pvmw536.aceins.com,Success
01/07/2013 10:29,uk01pvmw537.aceins.com,Success
01/07/2013 10:29,uk01pvmw538.aceins.com,Success
01/07/2013 10:29,uk01pvmw539.aceins.com,Success
01/07/2013 10:29,uk01pvmw540.aceins.com,Success
01/07/2013 10:29,uk01pvmw541.aceins.com,Success
01/07/2013 10:29,uk01pvmw542.aceins.com,Success
01/07/2013 10:29,uk01pvmw519.aceins.com,Success
01/07/2013 10:29,uk01pvmw520.aceins.com,Success
01/07/2013 10:30,uk01pvmw521.aceins.com,Success
01/07/2013 10:30,uk01pvmw522.aceins.com,Success
01/07/2013 10:30,uk01pvmw523.aceins.com,Success
01/07/2013 10:30,uk01pvmw508.aceins.com,Success
01/07/2013 10:30,uk01pvmw510.aceins.com,Success
01/07/2013 10:30,uk01pvmw511.aceins.com,Success
01/07/2013 10:30,uk01pvmw524.aceins.com,Success
01/07/2013 10:30,uk01pvmw525.aceins.com,Success
01/07/2013 10:30,uk01pvmw526.aceins.com,Success
01/07/2013 10:30,uk01pvmw527.aceins.com,Success
01/07/2013 10:30,uk01pvmw528.aceins.com,Success
01/07/2013 10:30,uk01pvmw529.aceins.com,Success
01/07/2013 10:30,uk01pvmw509.aceins.com,Success
01/07/2013 10:30,uk01pvmw501.aceins.com,Success
